English,Chinese
Date,日期
SecurityCode,證券代號
StockName,證券名稱
ForeignInvestorsTotalBuy,外陸資買進股數(不含外資自營商)
ForeignInvestorsTotalSell,外陸資賣出股數(不含外資自營商)
ForeignInvestorsDifference,外陸資買賣超股數(不含外資自營商)
ForeignDealersTotalBuy,外資自營商買進股數
ForeignDealersTotalSell,外資自營商賣出股數
ForeignDealersDifference,外資自營商買賣超股數
SecuritiesInvestmentTotalBuy,投信買進股數
SecuritiesInvestmentTotalSell,投信賣出股數
SecuritiesInvestmentDifference,投信買賣超股數
DealersDifference,自營商買賣超股數
DealersProprietaryTotalBuy,自營商買進股數(自行買賣)
DealersProprietaryTotalSell,自營商賣出股數(自行買賣)
DealersProprietaryDifference,自營商買賣超股數(自行買賣)
DealersHedgeTotalBuy,自營商買進股數(避險)
DealersHedgeTotalSell,自營商賣出股數(避險)
DealersHedgeDifference,自營商買賣超股數(避險)
TotalDifference,三大法人買賣超股數
